Psub;Pins;Pomi
0.817;0.100;0.100
#Une ligne par symbole de reference; une colonne par symbole de test
	;2;9;@;e;E;o;O;a;i;u;y;a~;o~;e~;H;w;j;R;l;p;t;k;b;d;g;f;s;S;v;z;Z;m;n;J
2;0.435;0.001;0.043;0.043;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.043;0.043;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.043;0.001;0.001;0.001;0.001;0.001;0.001;0.001
9;0.001;0.538;0.001;0.001;0.001;0.001;0.001;0.001;0.077;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
@;0.011;0.001;0.174;0.054;0.001;0.022;0.022;0.087;0.011;0.022;0.001;0.033;0.022;0.001;0.001;0.001;0.001;0.033;0.033;0.001;0.001;0.022;0.001;0.001;0.001;0.011;0.011;0.001;0.001;0.001;0.001;0.001;0.033;0.001
e;0.003;0.001;0.015;0.580;0.039;0.001;0.003;0.018;0.030;0.009;0.051;0.003;0.001;0.003;0.001;0.003;0.003;0.009;0.021;0.006;0.009;0.006;0.001;0.003;0.001;0.001;0.003;0.001;0.003;0.003;0.003;0.001;0.001;0.001
E;0.001;0.001;0.001;0.125;0.490;0.001;0.001;0.019;0.029;0.001;0.010;0.001;0.001;0.010;0.001;0.001;0.001;0.001;0.029;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.010;0.001;0.001;0.001;0.001;0.001;0.001;0.001
o;0.001;0.001;0.028;0.001;0.001;0.542;0.014;0.014;0.001;0.083;0.001;0.014;0.028;0.001;0.001;0.001;0.001;0.001;0.028;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.028;0.001;0.001;0.001;0.001;0.014;0.001;0.001
O;0.001;0.001;0.034;0.017;0.001;0.017;0.345;0.034;0.017;0.001;0.017;0.034;0.034;0.017;0.001;0.001;0.001;0.034;0.017;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.017;0.001;0.001
a;0.001;0.001;0.024;0.018;0.006;0.003;0.006;0.620;0.009;0.003;0.001;0.012;0.009;0.046;0.001;0.001;0.001;0.012;0.001;0.001;0.009;0.003;0.003;0.003;0.003;0.001;0.001;0.001;0.001;0.006;0.001;0.001;0.003;0.001
i;0.001;0.005;0.005;0.048;0.014;0.001;0.005;0.014;0.599;0.010;0.014;0.001;0.001;0.005;0.005;0.001;0.005;0.001;0.010;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.005;0.001;0.001;0.014;0.001;0.001;0.001;0.001
u;0.001;0.001;0.019;0.029;0.001;0.057;0.001;0.010;0.019;0.514;0.001;0.010;0.029;0.010;0.001;0.001;0.001;0.010;0.029;0.001;0.001;0.010;0.010;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.010;0.001;0.001
