Psub;Pins;Pomi
0.859;0.100;0.100
#Une ligne par symbole de reference; une colonne par symbole de test
	;2;9;@;e;E;o;O;a;i;u;y;a~;o~;e~;H;w;j;R;l;p;t;k;b;d;g;f;s;S;v;z;Z;m;n;J
2;0.577;0.002;0.188;0.027;0.009;0.002;0.007;0.018;0.007;0.005;0.009;0.001;0.002;0.001;0.001;0.001;0.005;0.014;0.014;0.001;0.005;0.002;0.001;0.005;0.001;0.002;0.002;0.001;0.005;0.001;0.001;0.005;0.002;0.001
9;0.003;0.669;0.014;0.011;0.059;0.034;0.003;0.006;0.017;0.003;0.001;0.003;0.001;0.001;0.001;0.001;0.003;0.003;0.003;0.001;0.001;0.003;0.001;0.003;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.008;0.008;0.001
@;0.035;0.002;0.450;0.042;0.007;0.010;0.011;0.034;0.008;0.012;0.006;0.009;0.009;0.006;0.001;0.001;0.001;0.016;0.006;0.002;0.007;0.004;0.001;0.002;0.001;0.001;0.006;0.001;0.006;0.005;0.001;0.003;0.005;0.001
e;0.002;0.001;0.013;0.726;0.041;0.002;0.002;0.017;0.026;0.003;0.008;0.002;0.001;0.003;0.001;0.001;0.002;0.006;0.013;0.002;0.007;0.004;0.001;0.004;0.001;0.001;0.004;0.001;0.002;0.001;0.002;0.001;0.003;0.001
E;0.001;0.006;0.005;0.094;0.685;0.002;0.001;0.023;0.008;0.002;0.002;0.001;0.001;0.005;0.001;0.001;0.002;0.003;0.009;0.002;0.003;0.001;0.001;0.002;0.001;0.001;0.002;0.001;0.002;0.002;0.001;0.002;0.002;0.001
o;0.001;0.006;0.011;0.006;0.003;0.680;0.061;0.021;0.003;0.022;0.001;0.014;0.017;0.001;0.001;0.001;0.001;0.012;0.002;0.003;0.003;0.004;0.001;0.002;0.001;0.001;0.002;0.001;0.001;0.001;0.001;0.003;0.006;0.001
O;0.002;0.001;0.013;0.007;0.002;0.063;0.711;0.011;0.003;0.008;0.003;0.005;0.008;0.002;0.001;0.003;0.001;0.005;0.006;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.003;0.001;0.001;0.001
a;0.001;0.001;0.010;0.016;0.009;0.005;0.003;0.761;0.003;0.002;0.001;0.007;0.003;0.021;0.001;0.001;0.001;0.010;0.005;0.001;0.004;0.002;0.001;0.002;0.001;0.001;0.002;0.001;0.002;0.001;0.001;0.002;0.002;0.001
i;0.001;0.001;0.003;0.034;0.004;0.001;0.001;0.005;0.769;0.002;0.007;0.001;0.001;0.001;0.001;0.001;0.006;0.005;0.005;0.001;0.004;0.002;0.001;0.003;0.001;0.001;0.002;0.001;0.001;0.002;0.001;0.002;0.002;0.001
u;0.001;0.001;0.013;0.009;0.004;0.020;0.007;0.006;0.006;0.761;0.003;0.007;0.014;0.001;0.001;0.003;0.002;0.007;0.009;0.002;0.003;0.003;0.003;0.004;0.001;0.002;0.002;0.001;0.004;0.001;0.001;0.005;0.004;0.001
y;0.002;0.001;0.007;0.029;0.003;0.001;0.002;0.005;0.019;0.003;0.750;0.001;0.004;0.002;0.001;0.001;0.006;0.004;0.011;0.001;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.002;0.001;0.001;0.001
a~;0.001;0.001;0.006;0.004;0.001;0.008;0.003;0.016;0.002;0.005;0.001;0.782;0.040;0.007;0.001;0.002;0.001;0.026;0.002;0.002;0.004;0.003;0.001;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.003;0.001
o~;0.001;0.001;0.008;0.004;0.001;0.014;0.006;0.009;0.003;0.012;0.003;0.052;0.747;0.005;0.001;0.003;0.001;0.025;0.005;0.005;0.004;0.001;0.001;0.003;0.001;0.001;0.003;0.001;0.004;0.001;0.001;0.003;0.003;0.001
e~;0.001;0.001;0.008;0.012;0.009;0.002;0.002;0.098;0.005;0.002;0.002;0.014;0.008;0.676;0.001;0.001;0.001;0.026;0.006;0.002;0.003;0.004;0.001;0.007;0.001;0.001;0.002;0.001;0.004;0.001;0.002;0.003;0.004;0.001
H;0.001;0.001;0.001;0.007;0.002;0.001;0.001;0.002;0.002;0.001;0.007;0.001;0.001;0.001;0.729;0.001;0.002;0.010;0.014;0.001;0.012;0.007;0.007;0.005;0.001;0.002;0.005;0.002;0.007;0.002;0.002;0.007;0.007;0.001
w;0.001;0.001;0.001;0.001;0.002;0.001;0.005;0.001;0.001;0.006;0.001;0.005;0.009;0.001;0.001;0.751;0.003;0.017;0.006;0.009;0.002;0.001;0.004;0.001;0.002;0.002;0.002;0.001;0.006;0.004;0.001;0.004;0.003;0.001
j;0.001;0.001;0.002;0.010;0.003;0.001;0.001;0.003;0.019;0.002;0.006;0.001;0.001;0.001;0.001;0.002;0.774;0.006;0.022;0.002;0.005;0.005;0.001;0.005;0.002;0.001;0.002;0.001;0.002;0.005;0.003;0.003;0.002;0.001
R;0.001;0.001;0.005;0.005;0.001;0.003;0.001;0.010;0.003;0.002;0.001;0.011;0.008;0.006;0.001;0.002;0.002;0.805;0.009;0.002;0.001;0.003;0.001;0.004;0.001;0.002;0.004;0.001;0.004;0.002;0.001;0.002;0.002;0.001
l;0.001;0.001;0.002;0.016;0.005;0.001;0.002;0.007;0.005;0.003;0.004;0.001;0.002;0.002;0.001;0.001;0.007;0.012;0.651;0.002;0.006;0.003;0.003;0.018;0.002;0.002;0.005;0.001;0.007;0.006;0.002;0.008;0.013;0.001
p;0.001;0.001;0.001;0.004;0.002;0.002;0.001;0.003;0.001;0.001;0.001;0.002;0.003;0.001;0.001;0.003;0.001;0.005;0.004;0.673;0.011;0.008;0.004;0.003;0.001;0.005;0.001;0.001;0.005;0.001;0.001;0.003;0.003;0.001
t;0.001;0.001;0.003;0.011;0.002;0.001;0.001;0.006;0.005;0.001;0.001;0.003;0.002;0.001;0.001;0.001;0.002;0.002;0.007;0.008;0.754;0.012;0.001;0.017;0.001;0.002;0.006;0.001;0.001;0.003;0.001;0.002;0.002;0.001
k;0.001;0.001;0.003;0.009;0.001;0.002;0.001;0.004;0.003;0.002;0.001;0.003;0.001;0.002;0.001;0.001;0.003;0.008;0.005;0.008;0.017;0.716;0.001;0.006;0.003;0.001;0.003;0.001;0.003;0.002;0.001;0.002;0.002;0.001
b;0.001;0.001;0.003;0.003;0.002;0.002;0.001;0.006;0.004;0.006;0.002;0.002;0.001;0.002;0.003;0.004;0.001;0.009;0.014;0.013;0.004;0.003;0.713;0.006;0.003;0.001;0.001;0.001;0.012;0.002;0.001;0.008;0.002;0.001
d;0.001;0.001;0.001;0.008;0.002;0.001;0.001;0.005;0.004;0.002;0.001;0.002;0.002;0.003;0.001;0.001;0.002;0.008;0.025;0.003;0.020;0.006;0.002;0.609;0.002;0.001;0.003;0.001;0.007;0.005;0.001;0.004;0.010;0.001
g;0.001;0.002;0.002;0.007;0.001;0.002;0.002;0.009;0.005;0.002;0.002;0.002;0.004;0.002;0.001;0.004;0.005;0.004;0.023;0.007;0.005;0.016;0.005;0.018;0.632;0.002;0.004;0.001;0.007;0.002;0.001;0.002;0.005;0.001
f;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.005;0.001;0.003;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.010;0.006;0.010;0.007;0.003;0.001;0.001;0.001;0.775;0.016;0.001;0.015;0.006;0.003;0.003;0.002;0.001
s;0.001;0.001;0.002;0.005;0.001;0.001;0.001;0.002;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.005;0.005;0.001;0.005;0.002;0.001;0.002;0.001;0.004;0.821;0.002;0.002;0.025;0.004;0.001;0.001;0.001
S;0.001;0.001;0.005;0.005;0.001;0.001;0.001;0.001;0.003;0.001;0.001;0.001;0.001;0.003;0.003;0.001;0.005;0.008;0.005;0.003;0.001;0.003;0.001;0.001;0.001;0.003;0.023;0.774;0.003;0.008;0.030;0.003;0.001;0.001
v;0.001;0.001;0.005;0.005;0.003;0.001;0.001;0.005;0.003;0.003;0.002;0.001;0.004;0.002;0.001;0.002;0.002;0.014;0.016;0.006;0.002;0.004;0.005;0.011;0.002;0.009;0.004;0.001;0.622;0.003;0.002;0.013;0.005;0.001
z;0.001;0.001;0.006;0.004;0.003;0.002;0.003;0.004;0.007;0.001;0.004;0.002;0.001;0.001;0.001;0.002;0.005;0.010;0.019;0.003;0.007;0.004;0.001;0.011;0.001;0.005;0.075;0.002;0.004;0.702;0.006;0.002;0.001;0.001
Z;0.001;0.001;0.001;0.012;0.003;0.002;0.006;0.006;0.004;0.002;0.005;0.002;0.001;0.003;0.001;0.001;0.006;0.005;0.009;0.001;0.003;0.005;0.001;0.004;0.001;0.004;0.021;0.012;0.006;0.012;0.738;0.003;0.003;0.001
m;0.001;0.001;0.002;0.004;0.002;0.002;0.001;0.005;0.004;0.004;0.001;0.002;0.003;0.002;0.001;0.001;0.002;0.006;0.015;0.003;0.004;0.002;0.003;0.006;0.001;0.002;0.002;0.001;0.011;0.001;0.001;0.772;0.013;0.001
n;0.001;0.001;0.004;0.009;0.002;0.004;0.001;0.006;0.004;0.003;0.001;0.004;0.003;0.002;0.001;0.001;0.001;0.004;0.029;0.004;0.004;0.002;0.001;0.015;0.001;0.001;0.002;0.001;0.005;0.001;0.001;0.014;0.729;0.001
J;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.011;0.011;0.011;0.001;0.001;0.001;0.001;0.001;0.001;0.011;0.011;0.011;0.001;0.001;0.001;0.001;0.011;0.001;0.001;0.011;0.001;0.011;0.011;0.001;0.001;0.033;0.678
Proba insertions...
<ins>;0.002;0.004;0.056;0.056;0.015;0.014;0.015;0.034;0.040;0.012;0.014;0.016;0.011;0.004;0.003;0.008;0.024;0.064;0.075;0.006;0.058;0.022;0.008;0.019;0.005;0.005;0.023;0.001;0.011;0.021;0.005;0.020;0.021;0.001
